dataset,method,mean,std,median,min,max,iqr,converged_rate,mean_runtime_s
digits,kmeans++,4617.975669544006,91.63299757589252,4576.275616838857,4551.629858711235,4927.275815433284,53.18146961600087,1.0,0.14271599333357396
digits,random,4653.657815479428,93.27945896533402,4635.260071911942,4551.706224893677,4847.956964950297,170.46760312689548,1.0,0.13737494333351302
synthetic,kmeans++,2777.4127084167203,0.16253328429506847,2777.317219545398,2777.254345389155,2777.6915443429652,0.23428771402541315,1.0,0.0027532333335936227
synthetic,random,2777.3896586874116,0.16647678871552524,2777.317219545398,2777.254345389155,2777.6915443429652,0.23428771402541315,1.0,0.0029817066665903742
